[13, 3, 7, 21, 10, 8, 14, 0, 5, 21, 10, 10, 21, 14, 6, 0, 4, 13, 13, 17, 8, 16, 19, 13, 14, 9, 8, 2, 5, 6, 20, 9, 2, 22, 9, 16, 14, 15, 6, 16, 20, 21, 7, 0, 5, 5, 0, 7, 10, 0, 7, 22, 15, 1, 22, 21, 5, 7, 13, 10, 19, 6, 5, 14, 0, 9, 20, 2, 9, 19, 22, 2, 21, 17, 3, 20, 4, 14, 16, 6, 0, 13, 6, 21, 7, 5, 10, 5, 0, 16, 16, 9, 9, 2, 8, 9, 23, 10, 23, 5, 23]
[13, 3, 9, 13, 10, 13, 7, 22, 2, 19, 3, 17, 17, 8, 23, 15, 3, 13, 19, 23, 16, 0, 6, 22, 14, 15, 8, 2, 14, 9, 22, 19, 6, 5, 9, 19, 2, 8, 6, 16, 15, 23, 7, 0, 5, 2, 21, 7, 10, 0, 10, 22, 15, 1, 22, 21, 5, 10, 9, 10, 1, 9, 5, 14, 0, 9, 20, 2, 9, 23, 15, 2, 21, 17, 10, 0, 5, 13, 19, 6, 22, 7, 1, 22, 1, 8, 13, 15, 17, 16, 13, 13, 1, 9, 13, 14, 1, 15, 15, 19, 3]
[13, 3, 7, 21, 10, 8, 14, 0, 5, 21, 10, 10, 21, 14, 6, 0, 4, 13, 13, 17, 8, 16, 19, 13, 14, 9, 8, 2, 23, 2, 20, 9, 8, 22, 9, 9, 14, 15, 4, 16, 23, 21, 7, 6, 2, 4, 0, 5, 10, 0, 7, 14, 15, 20, 1, 4, 5, 5, 13, 7, 19, 9, 5, 5, 0, 9, 20, 2, 8, 19, 22, 2, 21, 17, 3, 5, 7, 6, 19, 14, 22, 0, 1, 20, 4, 8, 8, 13, 6, 16, 13, 14, 23, 6, 13, 20, 1, 15, 13, 19, 3]
[13, 3, 7, 21, 10, 8, 14, 0, 5, 21, 3, 16, 21, 14, 7, 17, 4, 13, 13, 17, 5, 21, 19, 13, 14, 9, 8, 2, 21, 20, 23, 9, 10, 22, 9, 19, 14, 15, 8, 16, 23, 21, 7, 6, 2, 5, 17, 5, 10, 19, 5, 14, 15, 20, 23, 4, 13, 22, 20, 16, 19, 9, 5, 5, 4, 10, 20, 2, 8, 21, 13, 10, 15, 10, 19, 20, 4, 15, 19, 21, 0, 4, 4, 16, 3, 6, 19, 14, 2, 8, 15, 9, 9, 19, 22, 13, 23, 17, 23, 23, 23]
[13, 3, 9, 13, 10, 13, 7, 22, 2, 19, 3, 17, 17, 8, 23, 15, 3, 13, 19, 23, 16, 0, 6, 22, 14, 15, 8, 2, 14, 9, 22, 19, 6, 5, 9, 19, 2, 8, 6, 16, 15, 23, 13, 5, 7, 21, 0, 2, 3, 19, 9, 14, 21, 5, 0, 6, 9, 8, 0, 3, 2, 0, 13, 8, 17, 3, 0, 4, 3, 21, 16, 22, 7, 15, 0, 23, 8, 17, 19, 23, 0, 2, 8, 21, 5, 8, 3, 5, 0, 16, 16, 9, 9, 2, 8, 9, 23, 10, 1, 5, 23]
[13, 3, 5, 13, 10, 7, 5, 5, 2, 16, 9, 9, 4, 8, 6, 16, 4, 13, 13, 16, 19, 4, 16, 10, 14, 19, 15, 2, 5, 2, 23, 9, 2, 22, 14, 7, 14, 15, 6, 16, 20, 16, 4, 0, 13, 5, 0, 2, 20, 21, 7, 22, 15, 1, 21, 21, 5, 7, 8, 10, 19, 6, 5, 8, 2, 9, 20, 2, 9, 19, 1, 2, 21, 20, 3, 6, 8, 0, 19, 14, 20, 1, 20, 22, 1, 8, 8, 13, 0, 15, 13, 13, 3, 17, 5, 23, 20, 15, 13, 19, 3]
[13, 3, 5, 13, 10, 3, 14, 3, 2, 21, 10, 9, 8, 13, 6, 21, 4, 13, 13, 7, 16, 0, 1, 8, 14, 15, 8, 9, 5, 3, 16, 19, 8, 5, 9, 0, 2, 8, 6, 9, 15, 19, 7, 8, 21, 23, 0, 7, 3, 19, 5, 22, 19, 3, 22, 3, 9, 10, 0, 3, 21, 6, 5, 8, 0, 3, 19, 9, 4, 21, 16, 4, 15, 19, 0, 20, 4, 15, 19, 21, 0, 4, 1, 17, 3, 8, 9, 22, 2, 10, 15, 9, 9, 19, 4, 13, 23, 10, 23, 5, 23]
[13, 3, 5, 13, 10, 7, 5, 3, 2, 16, 9, 9, 8, 13, 23, 15, 4, 13, 13, 16, 16, 0, 6, 6, 14, 15, 8, 2, 5, 6, 16, 19, 2, 5, 9, 0, 2, 8, 6, 8, 21, 22, 9, 8, 0, 14, 0, 7, 3, 19, 8, 22, 15, 23, 17, 3, 9, 10, 0, 3, 21, 6, 5, 8, 0, 3, 19, 9, 4, 21, 16, 4, 15, 19, 0, 20, 4, 15, 19, 21, 0, 4, 1, 17, 3, 8, 9, 22, 2, 10, 15, 9, 9, 19, 4, 13, 23, 10, 23, 5, 23]
[13, 3, 5, 13, 10, 3, 14, 3, 2, 21, 10, 9, 4, 13, 6, 16, 4, 13, 13, 16, 16, 0, 13, 6, 14, 15, 8, 2, 5, 6, 20, 9, 2, 22, 9, 16, 14, 15, 6, 16, 20, 21, 7, 0, 5, 5, 0, 7, 10, 0, 7, 22, 15, 1, 22, 21, 5, 7, 13, 10, 19, 6, 5, 14, 0, 9, 20, 2, 9, 19, 22, 2, 21, 17, 3, 20, 4, 14, 16, 6, 0, 13, 6, 21, 7, 5, 10, 5, 0, 16, 16, 9, 9, 2, 8, 9, 1, 15, 13, 19, 3]
[13, 3, 5, 13, 10, 3, 14, 3, 2, 21, 7, 7, 4, 13, 6, 17, 4, 20, 13, 15, 5, 21, 17, 13, 14, 16, 8, 2, 21, 20, 23, 9, 10, 2, 9, 19, 20, 15, 2, 16, 6, 21, 7, 6, 5, 5, 17, 5, 15, 19, 10, 14, 15, 20, 23, 5, 13, 14, 20, 16, 19, 9, 5, 10, 4, 10, 1, 7, 8, 21, 6, 17, 14, 10, 19, 1, 6, 15, 19, 21, 0, 4, 4, 17, 4, 6, 19, 9, 8, 6, 15, 9, 7, 19, 22, 13, 23, 13, 5, 23, 23]
